"holiday_date","is_active","message","emoji","holiday_name","id","created_date","updated_date","created_by_id","created_by","is_sample"
"2026-08-22","true","Happy Janmashtami! Jai Shri Krishna! Platform is closed today.","🦚","Janmashtami","69e390a035105f6a8617e0a3","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-10-02","true","Happy Gandhi Jayanti! Bapu ko Pranam! Platform is closed today.","🕊️","Gandhi Jayanti","69e390a035105f6a8617e0a5","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-10-28","true","Happy Valmiki Jayanti! Platform is closed today.","🙏","Maharishi Valmiki Jayanti","69e390a035105f6a8617e0a7","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-11-15","true","Happy Guru Nanak Jayanti! Waheguru Ji Ka Khalsa! Platform is closed today.","🙏","Guru Nanak Jayanti","69e390a035105f6a8617e0ab","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-04-14","true","Jai Bhim! Happy Ambedkar Jayanti! Platform is closed today.","📘","Dr. B.R. Ambedkar Jayanti","69e390a035105f6a8617e09d","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-05-12","true","Happy Buddha Purnima! Platform is closed today.","🪔","Buddha Purnima","69e390a035105f6a8617e09f","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-09-05","true","Happy Milad-un-Nabi! Platform is closed today.","☪️","Milad-un-Nabi (Eid-e-Milad)","69e390a035105f6a8617e0a4","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-11-05","true","Happy Diwali! Festival of Lights! Platform is closed today. Enjoy the celebrations!","🪔","Diwali","69e390a035105f6a8617e0a8","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-12-25","true","Merry Christmas! Platform is closed today. Ho Ho Ho!","🎄","Christmas","69e390a035105f6a8617e0ac","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-08-15","true","Happy Independence Day! Jai Hind! Platform is closed today.","🇮🇳","Independence Day","69e390a035105f6a8617e0a2","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
